Countries,C1,C2,C3
Angola,1.184072252331546,0.5619031960254506,0.032879235413410104
Albania,-0.2553146654281113,0.7380258665505472,-0.772461710968172
United Arab Emirates,-0.5788092671157868,-0.411130276399007,-0.4169140066260098
Argentina,0.8978767386816094,-2.6132814911462625,0.06506714425687521
Armenia,-0.04912076596904427,1.2188177390147086,0.2707093409460184
Australia,-1.6889453302553572,-0.11834943631661275,-0.8633079108333117
Austria,-1.4893720394924472,-0.6226568901021862,1.6507222494203762
Azerbaijan,0.41432363835111513,-0.9371037229665953,1.1867055567152116
Burundi,1.0706863867905625,-0.9571681101863646,-1.922497750741653
Belgium,-1.735130310874927,-0.812004551893447,1.056620877468966
Benin,0.4326332377914984,1.4798165123908764,-0.6410171917237611
Burkina Faso,0.04751225187413558,0.5235732435415906,0.027882957455412475
Bangladesh,1.1788258237668228,1.3280850821812678,1.065809689055472
Bulgaria,-0.4319361455990435,-0.10763155557111086,0.6115584707688586
Bahrain,-0.8179775178812895,0.23186808052941527,-1.1918303526086846
"Bahamas, The",0.4559353347975042,0.9282569121232329,-1.4235655386184163
Bosnia and Herzegovina,0.241062656596595,0.515791028405473,0.7027516797379461
Belarus,1.2377077909831737,0.32041157789905056,2.287561702245347
Belize,0.2581614314155971,0.7994807459399229,-0.20797487281546462
Bolivia,0.9058864363960596,0.7163816580974831,0.8813108141010481
Brazil,0.07163361533644304,-0.47832335711195445,0.8351679206497379
Barbados,-0.1986301450201035,0.024590237899799555,-0.7560983888999188
Brunei Darussalam,-0.639521135184322,-1.7155519152848384,-1.910238433614757
Bhutan,-0.09497297197342625,0.4084216916674468,-0.9678739985949979
Botswana,-0.4653613042770218,-0.03670468821486892,-0.25419331840850556
Central African Republic,1.6441752213228167,1.7454627910146598,1.9907620351965214
Canada,-1.5854872333502428,0.16302005998727037,-0.7695516685041651
Switzerland,-1.537336287749016,0.5060156504573764,-0.45972326295061133
Chile,-0.94453966687063,0.15830616239871645,0.18623361064771748
China,0.17047157616223432,0.3233219226265755,0.46149079506292384
Cote d'Ivoire,0.41170695504070914,0.9967764438618062,-0.7404257388557778
Cameroon,0.8968696829426235,1.0366294242932044,-0.3126306258372728
"Congo, Dem. Rep.",1.639977122058535,0.32249273255006267,-0.717053671052469
"Congo, Rep.",1.003638324766364,-1.3927709897332825,1.6767971751645259
Colombia,0.18705937015837693,0.3528871187294125,0.43976542643998395
Comoros,0.9484646780500182,1.3306462219007313,0.8004070152006554
Cabo Verde,-0.43509918110439505,0.6954360693771998,-0.37187555226333097
Costa Rica,-0.7400397873026003,0.6546577440456933,-0.7717475976331817
Cyprus,-1.4674943622956471,0.1631609369222638,-0.17181086071596782
Czechia,-1.1927456134047656,-0.6105650855104532,0.922902721401636
Germany,-1.6585611685966357,-0.9809670267085326,0.5746736850253006
Djibouti,0.4172409978440358,1.1515936781287222,1.2266379911516117
Denmark,-1.7829209814439575,-0.2747599421128031,1.2778910012683995
Dominican Republic,0.10933979877667094,0.752695769615807,-0.7180480914981897
Algeria,1.0391359176974013,-1.508361646404766,1.0857010000476135
Ecuador,0.49643498841604977,0.6207498515484569,0.28227092759365763
"Egypt, Arab Rep.",0.8436748459893879,-1.1556494446190344,-0.5775625215809439
Spain,-1.2194291933030303,-0.06408837782565797,1.2726565117259379
Estonia,-1.591021954078,-0.5532222754627862,0.46105472324682384
Ethiopia,1.8034230533526607,-0.6025206955908994,-0.2988673636750406
Finland,-1.8320662503331833,-0.5251947544869597,2.0138120980427963
Fiji,0.6905844657947271,0.6427719294531306,-0.6039096500709531
France,-1.6237697167225502,-0.7910186921872072,0.9316250184227338
Gabon,0.9051185023028785,-0.48672209481170675,-0.1576240878797779
United Kingdom,-1.2583172875535409,-0.5160809091504945,-1.1746149585478238
Georgia,-0.552002528260371,1.0811071321205088,-0.33189858262057687
Ghana,0.7533417837411469,-0.6684903244572648,-1.816859418085349
Guinea,0.8166508663408297,0.8108249360744384,0.6577057301807777
"Gambia, The",0.26801780137352904,0.9800403080322094,-1.1077035904489154
Guinea-Bissau,1.1699071792712241,0.49957803837991327,0.9594527715694312
Greece,-0.8529085779981627,0.0728227382260396,0.6380361589160797
Guatemala,-0.12199274766785499,1.3891497547033087,-0.8631730383171566
Guyana,0.20859754587088677,-0.9265968886335901,-1.6384170505078763
"Hong Kong SAR, China",-1.4391347816886533,1.0023496373871381,-2.7368632439886342
Honduras,0.27947735676313007,1.1244000725713361,-0.20561973995217434
Croatia,-0.4139647389718408,-0.3214237831828954,0.8063047350727477
Haiti,1.3620156180166798,0.6217377443974869,-2.2493795827125185
Hungary,-0.34203048384244655,-0.802968579061875,0.6329628356890669
Indonesia,0.23282167723312963,0.9986476343333616,0.10380110961677896
India,0.32877366246648904,0.5226345641642137,0.17565462954559344
Ireland,-1.6060634363201303,-0.15313585192757634,-1.2300518054280085
"Iran, Islamic Rep.",1.8370421314754903,-1.4228733883200226,0.07939625286968931
Iraq,0.32823531548545126,-1.2985215100779628,0.4274115141991877
Iceland,-1.2819585955999881,-0.7439920547569981,1.105796916370481
Israel,-1.417171661003169,0.021341362808574234,-0.34298838735132
Italy,-0.9827234961070203,-0.2070605623388548,0.3116693640253733
Jamaica,-0.3635656115106205,0.6073398875767847,-0.9676350321778125
Jordan,-0.5887957231656404,1.0117478327908216,-0.5398034838019329
Japan,-1.8082065168876118,-0.3421457810419216,-1.670218629035099
Kazakhstan,0.310823409164748,0.19298438475200508,0.7287233827816881
Kenya,0.31430151823306557,1.0476946454107636,-0.24760058388632658
Kyrgyz Republic,0.43575292442252955,0.29718186352705867,0.8969513858532125
Cambodia,0.5694536872081802,1.7754489676040908,0.3763740869290599
"Korea, Rep.",-1.2579640507153786,0.13748190510767747,0.5266107958332111
Kuwait,-0.6088402925528321,-1.6250372955096206,-0.9300001790194553
Lao PDR,0.841456605372306,-0.08543949624066857,-0.4602064028820985
Lebanon,1.423618952436683,-0.9987456034142065,-0.8802112747942693
Liberia,0.5400932052700415,1.062417015950241,0.16644348458256028
Libya,1.2287979793353856,-1.996284555191217,0.9755259151925502
Sri Lanka,0.8097108685655781,-1.1845335401452508,0.037727241770612235
Lesotho,0.307699989693436,0.6559024174774836,-0.28926955064346566
Lithuania,-1.0211751426140658,-0.1511842003419086,0.1847553489738714
Luxembourg,-2.008691943884044,-0.6431322819573605,1.1620077162467455
Latvia,-1.1923900429947085,0.0720392686932883,1.1892828992770736
Morocco,-0.12766751133820436,0.5289193806984168,0.6393668238932115
Moldova,0.1758133410453143,-0.2335586346576514,1.8081196381550766
Madagascar,0.6928684689271967,0.7931130415222797,1.664123306717023
Mexico,0.15759457656164705,0.8483988877915462,0.25665108835672745
North Macedonia,0.11099264137502479,0.3491842710178355,0.3215777750274026
Mali,0.6031595784111193,0.9125341660517562,0.2673159677090439
Malta,-1.3705348713143137,0.15278184009935594,0.5001903529006896
Myanmar,1.7765418108517044,-0.9892003234418133,1.5540763433901803
