Countries,C1,C2,C3
Angola,0.8497133931766669,0.19135466769916112,0.0006551782553760247
Albania,0.039506411141011166,0.3301104119379915,0.3616346029768942
United Arab Emirates,0.2030425258782511,0.10244127525571144,0.1053438114672439
Argentina,0.48859553810031725,4.138933425434928,0.002565898946512125
Armenia,0.0014623331208397687,0.9003131399617732,0.04441427107601672
Australia,1.728809896115987,0.008488841864521196,0.45169730236810723
Austria,1.344381255770844,0.23497066835862168,1.6514448149887666
Azerbaijan,0.10403883472515497,0.5322202349077898,0.8534970171750057
Burundi,0.6947692962779577,0.5552550249440826,2.2399985464283105
Belgium,1.8246528458890436,0.3996069044216227,0.676634956789871
Benin,0.1134372839042153,1.3271860062695129,0.2490321455063133
Burkina Faso,0.0013681297443341215,0.16613875233494652,0.0004711874645214193
Bangladesh,0.8422001956239569,1.0689757487954084,0.6884547232027403
Bulgaria,0.11307202053027765,0.0070209404573679515,0.22666894737523924
Bahrain,0.4055074059146882,0.03258351925357296,0.860884599635964
"Bahamas, The",0.12598607849509835,0.5222187241845813,1.2282053592375395
Bosnia and Herzegovina,0.035218911760853275,0.1612365969597426,0.2993090444693966
Belarus,0.9284367126426958,0.06222035106167231,3.171477903987653
Belize,0.04039231798215156,0.387375432199185,0.02621427134703555
Bolivia,0.4973516579674863,0.31103192730818124,0.47073257639481925
Brazil,0.0031099241491936293,0.13866256603566682,0.4227305792014585
Barbados,0.02391147546103476,0.0003664726060416595,0.346475620422456
Brunei Darussalam,0.24787108021057205,1.783708105477258,2.211521741369066
Bhutan,0.005466585094221338,0.10109592619666602,0.5677455013068301
Botswana,0.131249177889946,0.0008165055375459014,0.03916014734759265
Central African Republic,1.6383710050981417,1.8464486998889,2.4018990792604815
Canada,1.52349682855552,0.016106387853486802,0.35891501242275403
Switzerland,1.4323653706848039,0.1551829324289707,0.12808816878664053
Chile,0.5407001104800491,0.015188388517217443,0.02101997438477916
China,0.01761245956317362,0.06335579736420924,0.12907500238049058
Cote d'Ivoire,0.10272885868417729,0.6021595630532048,0.33226077258189346
Cameroon,0.4875001382918801,0.651273068673006,0.05923509588569988
"Congo, Dem. Rep.",1.6300151278032704,0.06303125002885225,0.3116157376786801
"Congo, Rep.",0.6104787193574751,1.1756430483894709,1.7040295555392315
Colombia,0.021206792705484055,0.07547231428190691,0.11720826078299446
Comoros,0.5452031790960756,1.0731026471870846,0.38827356968631627
Cabo Verde,0.11473411963497893,0.29310989490352074,0.08381298567948929
Costa Rica,0.33191447684295644,0.25974349202363417,0.36096627542581033
Cyprus,1.3051755777997023,0.01613423717415208,0.017890285975734353
Czechia,0.8622073323007946,0.225933165845083,0.5162117776791184
Germany,1.667166757561599,0.5832098833268963,0.20015142076397469
Djibouti,0.10550912138296166,0.8037381815188112,0.9119034917190668
Denmark,1.926549833983688,0.04575334896353387,0.9897002491653042
Dominican Republic,0.007245570664559329,0.34336419490759496,0.31248064345708626
Algeria,0.6544263366356489,1.3788817311181183,0.7143919160632652
Ecuador,0.14936224104463244,0.23353356254389762,0.0482890160997478
"Egypt, Arab Rep.",0.4313862095486167,0.809409478089868,0.20216876747572007
