Countries,F1,F2,F3
Angola,-1.137891058500214,0.5607857110321439,0.7787296785805176
Albania,-0.27010503225093524,0.8795843274903196,0.02642725136254751
United Arab Emirates,0.6310172226254837,-0.09256523962735254,1.2766788109939893
Argentina,-0.7760694431108758,-1.851130584317432,1.8312111500229793
Armenia,0.06637009444841245,0.6873977451799953,-0.12666943834494238
Australia,1.7475376625796075,-0.1210508309722222,0.24133039339627754
Austria,1.5804894226679096,-0.10829093649446195,0.4526669999028545
Azerbaijan,-0.47052694843502013,-1.0781162378268383,1.0479018568349314
Burundi,-0.5992437691085682,-1.2314640936879078,-1.4980947554594195
Belgium,1.6181323975324529,-0.29376910048612154,-0.1306627094160215
Benin,-0.49544817625345083,1.1473685515582805,-0.06205437137010055
Burkina Faso,-0.12738002885043892,0.1423983900666483,-1.0036363580531213
Bangladesh,-1.030661554619588,1.2517061898397774,0.11228997082003798
Bulgaria,0.2221886610904161,-0.057915993678952775,-0.43427007727560407
Bahrain,1.0038144710806642,-0.46644238714016,-0.13043600750652934
"Bahamas, The",-0.38668103424028016,0.5008487752141197,0.11750333053047259
Bosnia and Herzegovina,-0.343214486433812,0.13156625978281566,-0.7985998148270506
Belarus,-1.5129225759099256,-0.11518476612261076,-2.7848394350280437
Belize,-0.18040217376081658,0.32516016494761407,-0.4088710383943595
Bolivia,-0.8900647838841549,0.05993537522533371,-1.5722176503784013
Brazil,0.13845414378583615,-0.22760630286935032,-0.5035790095228191
Barbados,0.16813303497003348,1.0940775524417188,1.004909882530869
Brunei Darussalam,0.521404335904725,-2.0959217757694484,-0.8971129054372139
Bhutan,0.3161969616561351,0.043506238228181865,-0.8333420409935777
Botswana,0.8413335947196957,-1.416586509395833,-1.931679415091844
Central African Republic,-1.7185713496799782,1.3645355719623187,-0.6765600750920436
Canada,1.5766286049202,-0.07740996955981241,0.29087428016499095
Switzerland,1.4951528996974301,1.1366514333221724,1.6289189978732341
Chile,0.9288713161286449,0.5087010745840878,0.7425183149873968
China,0.1253373141022909,-0.3066181954456211,-1.5265484892690506
Cote d'Ivoire,-0.34029440037134173,0.9787264687925693,-0.05344536398166058
Cameroon,-0.7670153275444015,0.9051402560600839,-0.10493457625573886
"Congo, Dem. Rep.",-1.4069353338577464,0.4594852794579287,-0.15125461716710764
"Congo, Rep.",-0.7691425317808642,-1.3365221503562925,0.3239752121384026
Colombia,-0.187233240587923,0.36013906830249853,0.08515770405327144
Comoros,-1.0623171118510686,1.366814436598236,0.13217111059833228
Cabo Verde,0.33080488083682524,0.32630615621855585,-0.3608326744395206
Costa Rica,0.7023092743568428,0.5932743095457937,0.3531218930239848
Cyprus,1.0309135333851778,0.4597057986010628,0.18034456352145659
Czechia,1.2567282384074914,-0.5012975561783412,-0.37609978033936814
Germany,1.4770212942912495,-0.09752214206217544,0.16411444095042782
Djibouti,-0.46883978476097654,0.6650901604099081,-0.905887740856586
Denmark,1.866903894572962,-0.5145300043651597,0.1228138347026707
Dominican Republic,-0.10471283433161963,0.7208213364138978,0.2313600596284133
Algeria,-0.430436324492791,-1.5648386267642662,-0.6571712031932918
Ecuador,-0.49320424183731754,0.5267575143632549,-0.4948815250222206
"Egypt, Arab Rep.",-0.6570347675979639,0.32024192830528897,1.881712746769821
Spain,1.1816930488417219,0.09143006785813915,0.03653233244598352
Estonia,1.5602303776218798,-0.267029275915942,0.6676600309776927
Ethiopia,-1.491071138432359,0.24606361603710866,1.110812418224302
Finland,1.9568366744277126,-0.29462455388034414,0.11822225344905224
Fiji,-0.8178928441274703,0.4163413505348538,-1.3217716270255357
France,1.4414833227158752,-0.1713689725267378,-0.12405293053265744
Gabon,-0.7501903799331163,-1.104998026728976,-0.738801908685662
United Kingdom,1.3128296725531654,0.018186120011488602,0.5594729244322524
Georgia,0.17782367305284788,1.1942267193534362,0.47650419073681183
Ghana,-0.6424131539244385,0.15798344387822788,1.8898549995979048
Guinea,-0.9886310206587845,0.6037667272471229,-0.6694629392287714
"Gambia, The",-0.32924247871947787,1.232837333652294,1.2163168852511814
Guinea-Bissau,-1.2765166483325283,0.24307048874233264,-1.2493629008623937
Greece,0.34613277755479516,0.3220014103895226,-0.4402924329133681
Guatemala,0.05465890834400956,1.1774157184540852,0.6834225336008878
Guyana,-0.4939452971387791,-0.9456788376292198,0.9218658193044209
"Hong Kong SAR, China",1.3124503574617938,1.23118201638043,1.5395828146070485
Honduras,-0.4028165359637658,0.9446153821831628,-0.17691179621776465
Croatia,0.14710774946208424,-0.37523692733248226,-0.9918019003872962
Haiti,-1.4651128099661772,0.7164765233600565,0.5359155681464759
Hungary,0.49314000646387895,-0.8137162754328098,-0.7552958334540486
Indonesia,-0.24027737926549525,1.0343229716030373,0.7289811766799464
India,-0.1946821550396978,0.6696627474854958,0.23315999672387838
Ireland,1.7370580961596773,-0.36208589295963584,0.03114670529523285
"Iran, Islamic Rep.",-1.5509878069915288,-0.9939667738944059,-0.6688372174497467
Iraq,-0.7192541777623642,-2.180765602519271,-0.9771634813963845
Iceland,1.7358318776189734,-0.8485338178983708,-0.4479350457132078
Israel,1.3590596889274447,-0.2869281942186702,-0.8403728393245291
Italy,0.6171064855553074,0.16665493429284725,-0.3276820961319089
Jamaica,0.3691359288296088,0.6457204610548591,0.6002505485543603
Jordan,0.3465290736526308,0.9001992999730855,-0.0792735706266478
Japan,1.6849639991566616,0.08741027616094939,0.43365894639316166
Kazakhstan,-0.18102329476527668,0.10315933951883632,0.13250702424806865
Kenya,-0.15148557234314813,0.9584949144606044,0.0885230366563423
Kyrgyz Republic,-0.6871319831870026,0.3186155330677128,0.10959611667182187
Cambodia,-0.6408517546996522,1.449814188325925,0.3420045667964379
"Korea, Rep.",1.3242173397443293,0.07801646408520743,-0.10435638174568328
Kuwait,0.705929476877112,-2.3901151602314354,-0.38198004089443255
Lao PDR,-0.8767050586490727,-0.33486367462645406,-0.2082506251613032
Lebanon,-1.4411442360304687,-0.8337474848763636,2.5048294894675056
Liberia,-0.6712462053692791,0.7822230603190211,0.011988050669026536
Libya,-1.157859447928606,-3.2414713857438087,-1.856567597236004
Sri Lanka,-0.7867589695780765,-0.6519607737995801,1.8708706783011624
Lesotho,-0.20926991363209155,-0.23865230649392477,-1.756575028264809
Lithuania,0.7879906830593956,0.06859916183725258,0.4197940880364317
Luxembourg,2.0321763903216175,-0.5567647849124213,-0.5503205105718518
Latvia,0.9669285125166135,0.26084376336935666,0.08491507476007315
Morocco,0.1654425578983965,0.19804742939286063,-0.7409355704132207
Moldova,-0.2312168438308568,0.2826782267060295,0.27124045300867894
Madagascar,-0.4679059675215236,-0.1692269108948045,-1.9504190464692817
Mexico,-0.30982024903242095,0.9019945741816146,-0.16594579230404688
North Macedonia,-0.27430411146779393,0.6035075604799702,-0.11578043531276576
Mali,-0.5244305840946104,0.5998607819241771,-0.734360025196639
Malta,1.4322794682151947,-0.14248611480082457,-0.225263890608141
Myanmar,-1.1448837143938608,-0.9048563485709002,-1.3193135944464858
Montenegro,0.06748036371022063,0.2925481634517123,0.2152118023863804
Mongolia,-0.22294194544081908,-0.09981480302402859,-0.591126348286063
Mozambique,-0.7985995976561612,0.39617908516646644,-0.9954016935039819
Mauritania,-0.47670186387341745,0.06744376694025297,-1.3804569750923572
Mauritius,0.623947488802141,0.5704595509036557,0.8862985273315143
Malawi,-0.8602723496703885,0.5375809165489445,0.9122495113985154
Malaysia,0.6821637161433353,0.803320822546905,0.8963233575460933
Namibia,0.02635747717853404,0.11784451908668296,-0.9220530426461725
Niger,-0.5410343296307131,0.6935604004790927,-0.8453894792737283
Nigeria,-1.0509510690421273,1.176726344804095,0.5260435679840668
Nicaragua,-1.0010880859233577,0.7294949119452929,-0.8351799015114304
Netherlands,1.9369969779459868,-0.7148591029817128,-0.4729444512301363
Norway,1.5891068429176192,-1.9201751983635467,0.7296245753763401
Nepal,-0.5665741772974605,1.6482654679633606,0.8631346603743506
New Zealand,1.720474862926037,0.17570967049449174,0.6734112349772523
Oman,0.67543201707348,-1.6728809807193687,-0.32875855694597134
