Countries,F1,F2,F3
Angola,-0.32236748410346394,-1.3781391449699485,-0.46098621379492954
Albania,-0.18512409582726566,-0.7297348337344226,0.5296601351878263
United Arab Emirates,1.3249918117529174,-0.33529147485953814,-0.4106533464523511
Argentina,0.6596139559581967,-0.19737900898442512,-2.6283556556546555
Armenia,-0.03791520884650019,-0.3480440184412801,0.6085996995494071
Australia,1.4576480891800636,0.8253483143910582,0.5664307130016998
Austria,1.475656847687298,0.6145364455969187,0.39920293060013223
Azerbaijan,0.3579315900409805,-0.11388445634870789,-1.5299489666261619
Burundi,-1.4460662427317317,1.3464742843891948,-0.4645258101584699
Belgium,1.112546201287322,1.0818983657160286,0.559877093868485
Benin,-0.4123548432594896,-0.9700207415913614,0.6743867418528792
Burkina Faso,-0.7685584289891653,0.40356409955515987,0.5387419337953798
Bangladesh,-0.6923408067810572,-1.405944503144657,0.4308421111543322
Bulgaria,-0.1266507968798808,0.39303279661907375,0.2660777327951605
Bahrain,0.6578852326485316,0.885808177335837,0.15734178896325596
"Bahamas, The",-0.20924829538184114,-0.5902017603026892,0.14851189708495213
Bosnia and Herzegovina,-0.7908679458071838,0.18721536190287524,0.33518029359639556
Belarus,-2.9904219362237265,0.8712709773252227,0.5964867620950678
Belize,-0.40916227772163577,-0.07615825703633468,0.36364234294001
Bolivia,-1.7152873812125775,0.39154756353700354,0.41491639424909205
Brazil,-0.23472705930640841,0.5012752238394445,0.1348790401188696
Barbados,0.7958792472637539,-1.197425096060794,0.40971654019819465
Brunei Darussalam,-0.2093990192583736,2.1439048912437646,-0.9107063219180481
Bhutan,-0.32516401004483086,0.5969207243164129,0.5781749597360778
Botswana,-0.6687963886749194,2.436858688308027,0.2457153690937387
Central African Republic,-1.7320971970400119,-1.385567459034109,0.5943235337523197
Canada,1.364094855851886,0.6827810708032888,0.4994127968850071
Switzerland,2.1982239899473908,-0.90576213309858,0.7268026033551415
Chile,1.185376914859479,-0.282031531819299,0.43388009643122954
China,-0.9309010459212119,1.1189427456554364,0.5669786811002646
Cote d'Ivoire,-0.2910649607260657,-0.7856667918677033,0.6120221134601593
Cameroon,-0.6416932903053725,-0.9234893495974547,0.39242808701680143
"Congo, Dem. Rep.",-1.1457503899434378,-0.9268014854109953,-0.20436918920116517
"Congo, Rep.",-0.3485737388181865,0.3106611780941746,-1.504931098654971
Colombia,-0.08270366192730698,-0.37899527493060875,0.1467343018607351
Comoros,-0.7028066181495783,-1.5087691156682213,0.4938088352719429
Cabo Verde,0.001990265222255796,0.15384348339099282,0.5678344980513619
Costa Rica,0.7558012642776865,-0.23402463047201433,0.5864338972093988
Cyprus,0.8837878410174683,0.11613480193277806,0.715589306813353
Czechia,0.6805444030435883,1.173637167647311,0.362699964178851
Germany,1.2052359363139904,0.7167313473378918,0.5017355232303314
Djibouti,-0.9576153501880807,-0.1671705158868844,0.7333587962145937
Denmark,1.4677563790708323,1.210743167651287,0.3807186738796587
Dominican Republic,0.07551133650402692,-0.6565521775685255,0.38381366583792265
Algeria,-0.7554484431084628,1.180490498138377,-1.049575714835696
Ecuador,-0.6993589905283929,-0.31834724003443743,0.4185494762179979
"Egypt, Arab Rep.",0.7751748582759476,-1.5945551751043672,-0.9651891899922912
Spain,0.9001232948527884,0.5149264506882134,0.5750837632452607
Estonia,1.6054397297619534,0.5885132580501992,0.1661589648994155
Ethiopia,-0.36027642554172373,-1.5347983874138293,-1.0160410811947227
Finland,1.5306675778807801,1.1139217800422012,0.5884088147854988
Fiji,-1.4947539288352285,0.053272175151388525,0.5934996429957913
France,0.9856797252703896,0.9086280658620597,0.5704920166884654
Gabon,-1.0486391760552962,0.7624058658329378,-0.8054363287574627
United Kingdom,1.3485793396964305,0.3366641042810144,0.32381087489845517
Georgia,0.4480551089666957,-0.9628389713349291,0.7463529287896976
Ghana,0.7919689758380986,-1.4849641522986794,-1.0848372947487515
Guinea,-1.1839963408493486,-0.5210354797334978,0.34173217093887215
"Gambia, The",0.5687138933723269,-1.6576661391721348,0.19084743884794428
Guinea-Bissau,-1.785558064914468,-0.10434147453655404,0.22445696141862684
Greece,-0.03997470863969037,0.2088534095828667,0.6100266473246851
Guatemala,0.49571411344392663,-1.129603720399585,0.578467529209274
Guyana,0.25556870538872334,-0.14233073908781646,-1.3793308547421568
"Hong Kong SAR, China",2.002549125064021,-1.0100677628050045,0.7604015107434698
Honduras,-0.4201830456235421,-0.7256570972547542,0.6186478407933012
Croatia,-0.5555967185020656,0.8759153689738696,0.26495094637061095
Haiti,-0.7283711464967307,-1.5096643747037242,-0.3707945513843429
Hungary,-0.13902958146983635,1.206543744874451,-0.02675829017597656
Indonesia,0.3081209774716309,-1.2095631701134442,0.3177879564633522
India,0.010188634406734787,-0.6692345627345918,0.30452292640024387
Ireland,1.309519304906859,1.0962683554246075,0.4824956202245686
"Iran, Islamic Rep.",-1.5955647354030207,0.24662575564299158,-1.110956911981819
