Countries,F1,F2
Angola,-1.0337616385930009,-0.1525520426507076
Albania,-0.07666706054275889,0.5114542962005643
United Arab Emirates,0.6921504780213417,-1.1267870942601281
Argentina,-0.8087720358872729,-2.9308369983340614
Armenia,0.04860220189677108,0.43613935211206717
Australia,1.6902858393048565,-0.06965571622564462
Austria,1.580683025699772,-0.3249375145392448
Azerbaijan,-0.49186777072476046,-2.2645815338870094
Burundi,-0.895893515438642,0.9538081209181574
Belgium,1.6076189683389281,-0.19413768557493702
Benin,-0.3678189871040494,0.7593418183779589
Burkina Faso,-0.13648583160769892,0.5872205513458897
Bangladesh,-0.986398322858759,1.2137278364627733
Bulgaria,0.23327612205638404,0.17001254234416838
Bahrain,0.8043950673841443,-0.29873587583409195
"Bahamas, The",-0.3178207788196996,-0.14378826367904818
Bosnia and Herzegovina,-0.421040196523409,0.4603937941757828
Belarus,-1.496214360156557,1.254105021476432
Belize,-0.21782766546778923,0.38503392616566023
Bolivia,-1.0138050082615802,1.0580715657996487
Brazil,0.04811710613280205,0.320329513503465
Barbados,0.42092361047599347,0.5334490487800795
Brunei Darussalam,0.3335760307192442,-1.6331075763886675
Bhutan,0.23818269026461328,0.757249078649207
Botswana,0.4410364131487079,0.1042972165886677
Central African Republic,-1.5817967494618026,1.2555760495088297
Canada,1.4932642486839924,-0.14516170934843814
Switzerland,1.7098372257467145,-0.19575096142023615
Chile,1.0154423672786532,0.10283606624167298
China,-0.0840515619077532,0.8146848634368089
Cote d'Ivoire,-0.25522414428521106,0.9568866512640148
Cameroon,-0.7741226768975051,1.1046676318447353
"Congo, Dem. Rep.",-1.4211696886573038,1.1116389300656102
"Congo, Rep.",-0.8941770377533601,-1.7280933682493753
Colombia,-0.15133608352887673,0.2575670992891961
Comoros,-0.890302031996212,0.9471066720369705
Cabo Verde,0.3552338611419307,0.39158226222246095
Costa Rica,0.758020293320954,0.22011969796080572
Cyprus,1.183347649313433,0.031564256061527574
Czechia,1.1467721585226551,0.08883906343597432
Germany,1.5834844692587324,-0.18687074298128792
Djibouti,-0.4193740603527416,0.8517746739767567
Denmark,1.7713994766857681,-0.6869534464215347
Dominican Republic,-0.06351527509325257,0.5917122005235714
Algeria,-0.7034616652061932,-0.7406413657912002
Ecuador,-0.5110065458203522,0.7441699226156401
"Egypt, Arab Rep.",-0.5054407656285341,-0.17812002460011728
Spain,1.1713692379146283,-0.05816848218601143
Estonia,1.5985626718645423,-0.7011284363528901
Ethiopia,-1.3960246882896568,0.051874867238028886
Finland,1.9226319447537694,-0.3353061716566794
Fiji,-0.6887515660010894,0.8471464601710835
France,1.460840925176099,-0.04751880431945223
Gabon,-0.9106975729982829,-0.8404900358409808
United Kingdom,1.3277822756336588,-0.06628007104682174
Georgia,0.39987225080932604,0.33150735488896477
Ghana,-0.5211748603701013,-0.5747408153664193
Guinea,-0.9222888670070848,0.7738278764249543
"Gambia, The",-0.14330393286418103,0.5217908646672788
Guinea-Bissau,-1.2242584449874716,0.859614488938625
Greece,0.4641979889023626,0.22473139566539985
Guatemala,0.08342478291312921,0.8061327699174532
Guyana,-0.4959678949735789,-2.0430532310650347
"Hong Kong SAR, China",1.4208161497151888,0.3400841208133694
Honduras,-0.30258266864240974,0.9115277886747246
Croatia,0.14121219335454172,0.20654026942770023
Haiti,-1.4260391739080054,0.9520612942058164
Hungary,0.32853264796942894,0.2558293456192613
Indonesia,-0.10667805796016311,0.2717208988508926
India,-0.10869216110128067,0.47957422460864974
Ireland,1.6232128936640198,-0.030354223305213975
"Iran, Islamic Rep.",-1.6409761350335326,0.14499544398251366
Iraq,-0.9013445513948379,-2.07711552666572
Iceland,1.552552322215715,0.008250368156589836
Israel,1.2749195847141253,0.39078540423146424
Italy,0.655392828191883,0.3728138271579224
Jamaica,0.43950795204630266,0.2008816870018971
Jordan,0.45135835153707554,0.7328182878007347
Japan,1.6695744417962701,-0.002948403746023239
Kazakhstan,-0.215855916290488,0.1743600099430591
Kenya,-0.07978712834703619,0.8961226561236736
Kyrgyz Republic,-0.571432554974078,-0.0816582828211244
Cambodia,-0.5618475242243351,0.8850116532011794
"Korea, Rep.",1.2538484523798237,0.20219251090500404
Kuwait,0.3496971547011732,-2.1326579845262583
Lao PDR,-0.9088407035748425,0.22679989255670524
Lebanon,-1.4372761378112382,-2.5098235073875172
Liberia,-0.5992197867942937,0.6058535514409448
Libya,-1.5850574558378352,-2.412135527610832
Sri Lanka,-0.6743598220942426,-2.0467989974871967
Lesotho,-0.3548734301229681,0.9037787048488218
Lithuania,0.8669296535139445,-0.2963735375407353
Luxembourg,1.9670183542838466,-0.10131006427190933
Latvia,1.0821683102690733,0.04401083968430357
Morocco,0.1651964937262714,0.6699358795638938
Moldova,-0.08235452837522034,-0.06889020300870709
Madagascar,-0.6375851170169178,1.2371069003636297
Mexico,-0.22448633451540723,0.9726958584365294
North Macedonia,-0.18642568508927898,0.43058169482712494
Mali,-0.5036858180765315,0.9226472547741148
Malta,1.3167325146465703,0.20650449520763542
Myanmar,-1.2889463634358655,0.7810997249677382
Montenegro,0.23641344449226098,0.12283254135646177
Mongolia,-0.10208388871020249,-0.006361055995290142
Mozambique,-0.7916733860300728,1.0418518736598374
Mauritania,-0.6322400786639257,0.8351417927142961
Mauritius,0.7474027123262355,0.09388902332047276
Malawi,-0.6495297859451936,0.17675560611750468
Malaysia,0.7806480296189418,-0.07586697280814601
Namibia,0.035963570557000946,0.6331538493423484
Niger,-0.40541254720121106,0.9225505345305767
Nigeria,-0.9203815265188955,1.4916083847673096
Nicaragua,-1.0638582393716998,1.2224853034675986
Netherlands,1.8112543157155347,-0.15088431289817097
Norway,1.4021478161067131,-2.443440511210328
Nepal,-0.3547093970069803,0.7077403870423592
New Zealand,1.8212936646453795,-0.23898591294658514
Oman,0.4716407058221264,-1.601701094391668
Pakistan,-0.7559219729663336,0.1793975379273182
Panama,0.4001831419372619,0.6221259028119641
Peru,0.008409665807561,0.6897221324236358
Philippines,0.12892229546724027,0.6690980156014339
Papua New Guinea,-0.32970450201400064,0.06005878200639822
Poland,0.2684205629942244,0.36808887544031665
Portugal,1.0908782625295006,-0.018989220078120452
Paraguay,-0.21888295482977282,0.6128578828593737
Qatar,0.6137196856554925,-2.3123802163393647
Romania,0.5073315132240986,0.06294990134520687
Russian Federation,-0.7296544182603328,-0.1672771616899978
Rwanda,0.0010541496647552705,0.36471941058201296
Saudi Arabia,0.6297621555213877,-1.0866728748478682
Sudan,-1.8214974514622337,-2.198320955478596
Senegal,-0.23845783869286793,0.6150259838180525
Singapore,1.619861609016875,-0.8633553575996149
Sierra Leone,-0.8540560203808022,-0.31790354246767977
El Salvador,-0.4424505388789681,0.8452706689782736
Somalia,-1.630356861209814,1.6138995682628952
Serbia,0.06648779528884981,0.1644463357319873
Suriname,-0.8362496183756947,-2.0266858749112733
Slovak Republic,0.6100656906271231,0.09660448684275727
Slovenia,0.7021967725825051,0.09085391894353365
Sweden,1.6625036799636155,-0.08984889598672999
Eswatini,-0.8257164368618005,0.8408000987059878
Seychelles,0.5399222297057498,0.58110402764336
Syrian Arab Republic,-1.9941848607664154,-2.2927200628072097
Chad,-1.7306609091399148,0.17130516245152214
Togo,-0.35433295362556827,0.874469634552451
Thailand,0.5926811859036398,0.39656024338393825
Tajikistan,-0.6128170003493703,0.7890227367974632
Timor-Leste,-0.36221732219008523,-2.828287765248452
Trinidad and Tobago,0.1696849558833279,-1.5414225916955606
Tunisia,-0.12651531548573236,0.655078870684908
Turkiye,-0.7086153529663961,-2.8028592689545304
Taiwan,1.2372047907712453,0.21569683093419711
Tanzania,-0.2248071147590672,0.6614877837439116
Uganda,-0.23508682807127457,0.8458359928779533
Ukraine,-0.6684711996639218,-0.3621562251963595
Uruguay,0.8901471638705607,-0.18782264372962573
United States,1.2774252777264141,-0.04745039915512081
"Venezuela, RB",-2.614708882296424,-2.1002195533288046
Vietnam,-0.335538975613246,0.9362232318757756
"Yemen, Rep.",-1.888030277103349,-2.477364582780414
South Africa,0.3193349104598681,0.8746785085674386
Zambia,-0.3898148334206717,-0.008586237008030797
Zimbabwe,-1.7171578044550504,-2.2889346948408673
